EventID,VehicleType,Latitude,Longitude,EquipmentID,BusID,BusLine,id,tripId,startTime,StartDate,routeId,speed,currentStopSequence,currentStatus,timestamp,occupancyStatus
1,Bus,45.4954582,-73.578701,Bus 165 N1,1,Bus 165 N,40064,263867203,,,124,25.36908153,63,STOPPED_AT,,MANY_SEATS_AVAILABLE
1,Bus,45.5160307,-73.643117,Bus 165 S13,13,Bus 165 S,40067,263867206,,,377,9.9768717,79,STOPPED_AT,,MANY_SEATS_AVAILABLE
1,Bus,45.4590846,-73.6611897,Bus 420 E2,2,Bus 420 E,40065,263867204,,,250,31.02716389,37,STOPPED_AT,,STANDING_ROOM_ONLY
1,Bus,45.4995417,-73.5698014,Bus 420 O14,14,Bus 420 O,40068,263867207,,,326,42.81510637,48,STOPPED_AT,,FEW_SEATS_AVAILABLE
1,Bus,45.4543152,-73.6416203,Bus 51 E15,15,Bus 51 E,40069,263867208,,,97,14.90270645,46,STOPPED_AT,,FEW_SEATS_AVAILABLE
1,Bus,45.526532,-73.5864472,Bus 51 O3,3,Bus 51 O,40066,263867205,,,145,26.14723683,36,STOPPED_AT,,FEW_SEATS_AVAILABLE
2,Bus,45.495665,-73.5792053,Bus 165 N1,1,Bus 165 N,40064,263867209,,,49,14.59119153,9,STOPPED_AT,,MANY_SEATS_AVAILABLE
2,Bus,45.5158352,-73.6428809,Bus 165 S13,13,Bus 165 S,40067,263867212,,,148,10.81473747,57,STOPPED_AT,,FEW_SEATS_AVAILABLE
2,Bus,45.4593743,-73.6620373,Bus 420 E2,2,Bus 420 E,40065,263867210,,,343,14.02232797,42,STOPPED_AT,,STANDING_ROOM_ONLY
2,Bus,45.4998275,-73.5703754,Bus 420 O14,14,Bus 420 O,40068,263867213,,,161,6.202511705,32,STOPPED_AT,,FEW_SEATS_AVAILABLE
2,Bus,45.4543754,-73.6418027,Bus 51 E15,15,Bus 51 E,40069,263867214,,,494,19.14011015,40,STOPPED_AT,,FEW_SEATS_AVAILABLE
